Symbol,Price,Industry Group Rank,Price % Change,Vol. % Change,IBD Comp. Rating,RS Rating,Acc/Dis Rating,EPS Rating,SMR Rating,Ind Grp RS,PE Ratio,Vol. 50 Day Avg. (1000s)
FLDR,50.1,,0.04,-63,,31,D+,,,,,343
FLDZ,34.12,,1.31,-87,,91,A+,,,,,2
FLEE,40.14,,0.05,-75,,69,E,,,,,13
FLEU,37.09,,-0.09,-64,,79,B+,,,,,7
FLGB,37.14,,-0.03,-88,,67,B,,,,,115
FLGR,34.34,,0.44,-4,,51,A,,,,,3
FLGV,19.97,,-0.2,-6,,16,E,,,,,84
FLHY,24.19,,-0.04,-36,,29,D+,,,,,233
FLIA,20.3,,-0.2,-53,,31,E,,,,,116
FLIN,35.77,,-0.45,-82,,35,A-,,,,,856
FLJH,47,,-0.32,-41,,90,C-,,,,,34
FLJJ,34.49,,0.01,63,,62,D-,,,,,1
FLJP,41.77,,-0.21,-62,,83,C,,,,,1097
FLKR,59.3,,0.68,-57,,89,E,,,,,888
FLLA,26,,-0.84,67,,34,E,,,,,27
FLMB,23.53,,-0.19,-87,,27,D,,,,,12
FLMI,24.73,,-0.24,-41,,32,E,,,,,713
FLMX,36.43,,-0.66,-14,,37,E,,,,,10
FLN,24.47,,-0.65,163,,36,E,,,,,12
FLOT,50.96,,0.02,-50,,38,D,,,,,2047
FLOW,43.78,,-0.41,-51,,97,A+,,,,,2
FLQL,79.63,,-0.24,21,,77,D,,,,,85
FLQM,61.54,,-0.15,-50,,77,A-,,,,,95
FLQS,50.7,,0.19,-78,,90,D,,,,,4
FLRG,42.95,,-0.02,-53,,79,A,,,,,17
FLRN,30.79,,0.07,-73,,38,E,,,,,1398
FLRT,46.84,,0.05,11,,29,B,,,,,102
FLSA,32.56,,-0.23,102,,18,C,,,,,1
FLSP,28.37,,0.14,-50,,64,A,,,,,115
FLSW,43.81,,-0.63,-68,,60,C,,,,,7
FLTB,50.07,,0,-57,,25,D-,,,,,55
FLTR,25.55,,,-41,,42,C,,,,,1168
FLTW,103.08,,-0.67,-75,,99,D,,,,,568
FLUD,25.02,,0.01,54,,42,A,,,,,239
FLV,87.59,,-0.16,-81,,87,B+,,,,,14
FLXI,48.99,,0.14,74,,27,D,,,,,0
FLXN,24.95,,-0.08,-72,,22,E,,,,,28
FLXR,38.98,,,9,,23,D,,,,,421
FLYD,38.12,,0.99,155,,2,E,,,,,2
FLYT,7.85,,-0.76,-57,,1,D-,,,,,338
FLYU,53.42,,-1.26,-53,,65,A-,,,,,1
FMAC,10.02,,-0.2,-15,,,,,,,2,8
FMACU,10.31,,1.31,,,,C,,,,2,1
FMAG,37.15,,-0.11,-42,,59,A-,,,,,21
FMAR,53.34,,0.1,-64,,72,D,,,,,39
FMAT,60.18,,0.67,-63,,52,D,,,,,58
FMAY,57.66,,-0.08,-64,,63,C-,,,,,77
FMB,50.62,,-0.2,-40,,29,D-,,,,,156
FMCE,29.29,,-0.42,-63,,69,A+,,,,,0
FMCX,37.52,,-0.54,35,,61,C+,,,,,1
FMDE,42.96,,0.23,-29,,93,A+,,,,,908
FMED,30.21,,0.31,-68,,95,A+,,,,,7
FMET,39.53,,1.3,-18,,70,A,,,,,4
FMF,50.73,,0.21,-76,,39,B-,,,,,61
FMHI,47.83,,-0.31,-39,,34,C,,,,,98
FMKT,22.95,,-0.24,19,,43,C,,,,,4
FMN,11.19,,,47,,38,E,,,,48,23
FMNY,26.42,,-0.45,-17,,29,C,,,,,6
FMQQ,12.84,,-0.02,79,,44,A,,,,,11
FMTL,35.43,,0.42,2,,39,E,,,,,6
FMTM,39.95,,-0.93,-27,,61,E,,,,,238
FMUB,50.91,,-0.13,6,,36,E,,,,,36
FMUN,49.91,,-0.24,1,,32,D,,,,,10
FMY,11.69,,0.09,33,,25,B,,,,22,3
FNCL,83.04,,-0.04,-14,,81,A+,,,,,101
FNDA,38.52,,0.21,-1,,92,B-,,,,,488
FNDB,31.93,,0.13,-37,,91,A-,,,,,180
FNDC,51.35,,0.27,-36,,67,C-,,,,,92
FNDE,41.28,,-0.15,-25,,56,E,,,,,837
FNDF,55.66,,0.34,0,,87,D,,,,,1387
FNDX,32.69,,0.12,-44,,91,A-,,,,,2683
FNG,10.64,,1.99,181,,23,,,,,,
FNGD,26.78,,2.88,1,,2,E,,,,,544
FNGG,264.72,,-2,-79,,85,A,,,,,6
FNGO,151.34,,-1.95,-73,,94,A,,,,,6
FNGS,80.23,,-1.08,-41,,87,A,,,,,31
FNGU,33.06,,-2.71,-49,,91,C,,,,,5030
FNK,64.77,,0.22,-81,,87,A,,,,,4
FNOV,59.87,,0.04,-85,,68,C-,,,,,38
FNX,147.95,,0.46,-39,,84,A,,,,,16
FNY,107.74,,0.51,-80,,81,D-,,,,,26
FOCT,53.65,,0.04,-73,,69,C-,,,,,49
FOF,13.75,,-0.29,-26,,36,D-,,,,74,46
FOMG,8.17,,-0.03,22,,21,,,,,,
FOPC,25.25,,-0.18,11,,20,E,,,,,2
FORH,25.16,,0.37,4,,46,B+,,,,,1
FORL,11,,,,,,E,,,,,0
FOTO,21.08,,2.38,-73,,22,,,,,,739
FOWF,37.41,,0.5,-88,,93,A+,,,,,2
FOXY,27.88,,-0.47,7,,26,E,,,,,91
FPA,49.79,,0.86,-89,,59,C-,,,,,13
FPAA,25.93,,0.19,79,,51,,,,,,
FPAG,42.79,,0.02,-34,,88,A-,,,,,45
FPAS,24.5,,-0.17,-94,,16,A,,,,,7
FPE,17.81,,-0.11,-35,,15,E,,,,,996
FPEI,19.19,,0.05,6,,25,D-,,,,,308
FPF,17.86,,0.17,55,,11,D,,,,66,96
FPFD,21.23,,-0.02,5,,13,E,,,,,15
FPRO,25.51,,0.32,-70,,64,C-,,,,,5
FPSX,5.32,,11.61,142,,19,,,,,,
FPWR,37.43,,0.74,-43,,54,B,,,,,8
FPX,191.55,,1.49,-58,,75,D+,,,,,56
FPXE,34.32,,-0.13,67,,49,B,,,,,1
FPXI,73.44,,-1.32,-93,,76,D-,,,,,64
FQAL,85.11,,-0.42,-59,,82,A,,,,,39
FRA,10.95,,0.13,-12,,11,A,,,,23,151
FRDM,68.41,,-0.06,-62,,86,E,,,,,323
FREI,24.95,,0.06,-75,,40,,,,,,
FREL,30.01,,0.27,165,,58,D,,,,,252
FRGN,31.87,,-0.2,-84,,64,D-,,,,,62
FRI,32.14,,0.19,15,,73,D,,,,,39
FRIZ,27.73,,-0.49,-94,,72,C,,,,,1
FRNW,23.06,,-0.52,-58,,42,E,,,,,96
FRTT,1.11,,3.74,-70,,,,,,,,4148
FRTY,23.6,,-0.04,-36,,78,C,,,,,21
FRWD,33.45,,0.6,-85,,88,C,,,,,117
FSCC,36.34,,0.47,-17,,90,D,,,,,46
FSCO,5.11,,0.39,1,,16,A+,,,,,994
FSCS,38.31,,0.14,54,,66,A+,,,,,7
FSEC,43.42,,-0.28,-45,,21,D,,,,,349
FSEG,28.35,,0.77,-20,,68,D+,,,,,3
FSEP,56.52,,0.07,-85,,68,C-,,,,,51
FSEV,27.56,,0.48,-67,,65,E,,,,,2
FSGS,34.04,,-0.35,-65,,82,A+,,,,,3
FSHP,11.29,,0.94,-99,,,E,,,,98,0
FSIG,18.84,,-0.03,-62,,22,B-,,,,,402
FSMB,19.96,,-0.08,-54,,30,B-,,,,,125
FSMD,53.18,,0.72,-4,,89,A,,,,,110
FSML,31.18,,0.64,-98,,85,E,,,,,25
FSOL,8.86,,-1.77,0,,7,C,,,,,234
FSPC,21.16,,0.38,81,,58,,,,,,
FSSL,11.57,,,-29,,,C,,,,,321
FSTA,54.35,,0.09,-5,,46,D+,,,,,119
FSTB,20.04,,-0.15,93,,40,,,,,,
FSYD,48.55,,-0.01,3,,38,C,,,,,26
FSZ,83.15,,,-94,,46,B-,,,,,1
FT,7.89,,0.25,-7,,17,E,,,,74,35
FTA,104.18,,0.27,-45,,94,A+,,,,,32
FTAG,29.18,,0.69,-92,,39,E,,,,,7
FTBD,48.56,,-0.23,-69,,18,E,,,,,4
FTBI,22.03,,-0.09,-80,,49,E,,,,,6
FTC,187.24,,0.29,-54,,82,C,,,,,16
FTCA,7.29,,-0.55,-10,,24,E,,,,,191
FTCB,20.59,,-0.15,-45,,14,E,,,,,701
FTCE,28.12,,0.11,-28,,86,C,,,,,8
FTCS,101.01,,0.01,-73,,72,A-,,,,,615
FTDS,66.47,,,-83,,89,A+,,,,,3
FTEC,292.5,,-0.32,-25,,96,B+,,,,,343
FTF,5.84,,,-42,,12,C-,,,,30,244
FTGC,29.61,,0.77,-56,,53,B,,,,,753
FTGS,39.92,,-0.17,-32,,85,A+,,,,,114
FTHA,9.91,,,-100,,,,,,,80,
FTHB,25.3,,-0.19,3,,39,C,,,,,7
FTHF,46.84,,0.01,-73,,84,E,,,,,11
FTHI,24.33,,0.25,-49,,49,A-,,,,,763
FTHY,13.47,,-0.22,-9,,20,B-,,,,,95
FTIF,29.27,,1.04,20,,85,D-,,,,,2
FTKI,20.36,,0.22,52,,56,E,,,,,7
FTLS,76.44,,0.18,-57,,59,B+,,,,,133
FTMA,8.96,,-0.33,-50,,27,E,,,,,109
FTMH,11.61,,-0.09,-39,,28,E,,,,,193
FTMN,8.73,,-0.29,188,,22,C,,,,,77
FTMS,9.9,,,51,,31,E,,,,,90
FTMU,7.78,,-0.13,-79,,24,E,,,,,158
FTNJ,8.68,,-0.34,-19,,25,E,,,,,109
FTNY,7.8,,-0.26,-28,,23,D-,,,,,181
FTOH,8.35,,-0.26,115,,28,E,,,,,33
FTPA,8.59,,-0.29,164,,26,E,,,,,40
FTQI,22.4,,0.27,-19,,61,B,,,,,291
FTRA,9.86,,,368,,,,,,,17,
FTRB,24.82,,-0.18,-57,,19,D-,,,,,116
FTRI,17.47,,0.44,-40,,45,C,,,,,45
FTSD,90.08,,-0.06,-62,,27,A,,,,,30
FTSL,44.97,,-0.04,-47,,23,A+,,,,,215
FTSM,59.85,,0.03,-7,,33,D,,,,,664
FTWO,46.45,,1.13,0,,57,B,,,,,7
FTXG,23.17,,0.39,123,,52,D-,,,,,12
FTXH,39.8,,-0.58,-18,,97,E,,,,,726
FTXL,239.81,,0.01,-72,,83,E,,,,,328
FTXN,39.06,,1.46,-88,,95,C-,,,,,895
FTXO,43.87,,0.49,-32,,92,A,,,,,90
FTXR,45.23,,0.07,58,,90,C,,,,,168
FUMB,20.07,,0.02,-46,,34,A+,,,,,61
FUND,10.69,,-0.42,-26,,85,C,,,,75,29
FUSD,25.08,,0.02,-73,,40,,,,,,
FUSI,50.52,,-0.02,-81,,36,C,,,,,5
FUTG,3.83,,1.06,-83,,1,C-,,,,,1441
FUTY,57.2,,0.58,-31,,33,E,,,,,367
FV,73.56,,-0.35,-36,,83,C,,,,,66
FVAL,83.21,,-0.24,-49,,88,A,,,,,40
FVAV,10.15,,-0.1,2,,,C-,,,,61,27
FVC,42.44,,-0.29,-50,,82,C,,,,,2
FVD,50.92,,0.18,-49,,74,B,,,,,584
FVN,11.6,,-1.53,-88,,,C+,,,,1,98
FWAC,9.9,,-0.1,-99,,,,,,,,
FWD,135.47,,-0.38,-38,,79,D,,,,,292
FXA,70.13,,0.35,-30,,39,B,,,,,12
FXAC,10.05,,0.2,-99,,,,,,,,
FXB,130.09,,0.36,-69,,36,B-,,,,,24
FXC,70.38,,0.34,40,,27,A-,,,,,28
FXD,70.84,,-0.24,-70,,64,B,,,,,12
FXE,106.79,,0.37,-19,,25,B,,,,,138
FXED,17.38,,-0.97,2,,13,A+,,,,,5
FXF,108.33,,0.18,-27,,13,E,,,,,40
FXG,65.77,,0.61,-41,,55,B,,,,,12
FXH,131.22,,-0.21,-45,,94,A,,,,,54
FXI,34.89,,0.09,-54,,8,C,,,,,24340
FXL,224.01,,-0.41,-92,,98,B-,,,,,198
FXN,22.95,,1.59,-67,,94,C+,,,,,1906
FXO,66.87,,0.15,-61,,87,A+,,,,,49
FXP,21.1,,1,-39,,90,C+,,,,,4
FXR,91.99,,0.24,-71,,75,C+,,,,,33
FXU,48.69,,0.52,-4,,49,E,,,,,267
FXY,57.58,,0.09,37,,16,B,,,,,254
FXZ,83.77,,1.07,-57,,80,B,,,,,52
FYC,124.41,,0.73,-27,,97,D,,,,,72
FYEE,30.3,,-0.07,-34,,58,B,,,,,79
FYLD,40.25,,0.9,-68,,86,C,,,,,101
FYT,73.42,,-0.08,577,,97,B-,,,,,11
FYX,146.11,,0.21,-50,,97,A-,,,,,27
GAA,36,,1.15,516,,60,C-,,,,,6
GAB,5.8,,-0.34,-20,,35,B-,,,,72,971
GABF,47.11,,-0.41,-47,,54,A+,,,,,5
GAEM,26.89,,-0.13,78,,45,D+,,,,,7
GAIQ,64.73,,-0.6,44,,,,,,,,
GAL,53.95,,-0.1,-22,,54,B-,,,,,10
GALX,26.35,,,-95,,64,,,,,,
GAM,67.89,,0.16,-77,,73,A,,,,90,27
GAMR,98.57,,,-7,,76,A,,,,,1
GAPR,42.49,,-0.01,115,,56,A,,,,,7
GARA,27.72,,0.05,-52,,38,C,,,,,0
GARP,84.67,,-0.58,-13,,96,A,,,,,322
GARY,27.62,,-1,-53,,88,C,,,,,13
GASZ,24.18,,1.4,-90,,22,D,,,,,8
GAUG,42,,0.02,300,,57,A+,,,,,13
GAVA,15.59,,0.05,-58,,10,C,,,,,3
GBAB,14.08,,0.11,-18,,13,B,,,,38,88
GBF,102.16,,-0.22,-70,,17,E,,,,,9
GBHI,25.32,,-0.02,-63,,35,E,,,,,0
GBIL,100.05,,0.03,-22,,41,C,,,,,622
GBND,49.73,,-0.2,-57,,18,C,,,,,21
GBTC,48.68,,-0.75,-57,,4,C-,,,,,1893
GBUG,47.74,,1.66,-65,,52,C,,,,,32
GCAD,57.74,,1.35,-43,,93,D,,,,,9
GCAL,50.64,,-0.24,-52,,34,A+,,,,,21
GCC,25.18,,0.41,-41,,56,B,,,,,49
GCGR,10.1,,-0.49,-92,,,,,,,55,
GCOR,40.54,,-0.21,-21,,17,E,,,,,73
GCOW,46.88,,0.28,-15,,59,C+,,,,,279
GCPB,50.09,,-0.08,341,,,,,,,,
GCSH,50.07,,-0.06,18,,39,,,,,,
GCV,4.76,,0.63,30,,69,A-,,,,83,44
GDE,67.95,,0.46,-45,,45,C,,,,,146
GDEC,40.61,,0.02,25,,61,A-,,,,,12
GDIV,19.08,,-0.16,45,,78,A,,,,,10
GDL,8.4,,-0.14,278,,31,B-,,,,37,9
GDLC,28.48,,-0.49,-10,,4,C+,,,,0,45
GDMA,42.94,,0.29,-51,,60,D-,,,,,19
GDMN,89.92,,1.77,-44,,40,B-,,,,,44
GDO,10.29,,-0.1,41,,8,E,,,,59,40
GDOC,36.92,,-0.89,-96,,83,E,,,,,2
GDOG,8.19,,-0.47,-42,,6,D,,,,,26
GDT,35.87,,0.57,-30,,10,C,,,,,3
GDV,30.76,,-0.42,-29,,73,B,,,,70,103
GDX,89.97,,1.93,-30,,44,B-,,,,,23029
GDXD,24.72,,-5.61,106,,2,D,,,,,778
GDXJ,118.09,,1.9,-23,,44,B-,,,,,5730
GDXU,130.14,,5.51,5,,17,B-,,,,,1646
GDXW,42.31,,2.37,-31,,5,C,,,,,46
GDXY,10.93,,1.58,-2,,4,B-,,,,,610
GEM,51,,-0.02,-57,,77,D+,,,,,110
GEMD,41.69,,-0.28,-50,,27,D,,,,,3
GEME,42.63,,-0.3,54,,79,E,,,,,83
GEMG,6.6,,-17.21,-93,,4,C,,,,,22
GEND,13.47,,0.42,210,,80,E,,,,,1
GENM,10.23,,-0.05,-73,,32,C-,,,,,19
GENT,10.18,,-0.24,-61,,21,C,,,,,35
GENW,15.55,,-0.02,-89,,80,D,,,,,1
GENZ,39.91,,0.58,-13,,53,B+,,,,,2
GEQ,52.74,,-0.11,-77,,51,,,,,,
GEVC,23.41,,2.62,-89,,27,,,,,,
GEVG,28.41,,2.72,-37,,48,E,,,,,58
GEVX,22.34,,2.92,-87,,66,E,,,,,274
GEW,57.29,,-0.2,830,,73,E,,,,,0
GF,11.62,,0.21,-2,,26,A,,,,93,31
GFEB,44.79,,-0.09,46,,59,B,,,,,10
GFGF,36.78,,-0.14,-88,,64,A+,,,,,3
GFLW,34.67,,-0.39,-12,,96,A,,,,,167
GFSG,5.01,,7.26,221,,19,,,,,,
GGLL,102.86,,-0.4,-52,,47,E,,,,,1629
GGLS,58.25,,0.15,-99,,38,A,,,,,922
GGM,31.89,,0.42,-91,,89,E,,,,,1
GGME,64.72,,0.7,-73,,76,A+,,,,,3
GGN,5.32,,-0.19,-23,,40,B,,,,98,595
GGOV,50.09,,-0.12,-84,,37,E,,,,,998
GGRW,38.54,,,-96,,71,A,,,,,1
GGT,4.19,,,-27,,27,C,,,,88,339
GGTL,40.16,,,-94,,93,A+,,,,,2
GGUS,68.37,,-0.16,1017,,61,A,,,,,19
GGZ,16.7,,-0.39,-53,,77,E,,,,76,7
GHTA,30.88,,0.07,-59,,35,D-,,,,,2
GHXI,10.08,,1.31,-92,,,,,,,,
GHY,11.68,,-0.26,-1,,10,C+,,,,51,141
GHYB,44.64,,-0.01,-20,,26,C-,,,,,12
GHYG,45.31,,-0.03,-62,,25,A+,,,,,21
GIAX,16.52,,0.19,-51,,21,B+,,,,,120
GIEQ,43.27,,,-93,,52,,,,,,0
GIGB,44.94,,-0.31,2,,14,E,,,,,59
GIGL,49.6,,-0.27,-77,,16,E,,,,,22
GII,75.08,,0.05,-54,,39,E,,,,,44
GINC,50.1,,-0.15,-35,,,,,,,,
GIND,24.86,,-0.31,-98,,39,C,,,,,9
GINN,82.5,,-0.41,-27,,81,A+,,,,,2
GINX,36.86,,0.1,57,,89,D+,,,,,9
GISC,50.01,,0.04,-81,,38,,,,,,
GIW,10.14,,,-98,,,E,,,,26,59
GIX,9.97,,,-100,,,C,,,,10,54
GJAN,45.93,,0.05,-91,,60,A,,,,,26
GJUL,44.64,,-0.01,-70,,64,A,,,,,45
GJUN,42.06,,0.01,-76,,56,A-,,,,,139
GK,29.93,,-0.07,285,,78,D+,,,,,2
GKAT,45.83,,-0.01,-60,,80,C,,,,,3
GLAM,28.25,,-0.13,-82,,69,E,,,,,
GLBL,28.81,,-0.41,79,,80,B+,,,,,0
GLCR,24.77,,,-90,,14,C,,,,,0
GLD,401.48,,0.63,-15,,36,C-,,,,,7892
GLDB,20.82,,0.26,-87,,6,E,,,,,23
GLDI,148.84,,0.06,-43,,7,B-,,,,,66
GLDM,86.58,,0.62,-41,,36,C,,,,,4197
GLDN,16.28,,1.44,156,,13,C,,,,,7
GLDW,43.72,,0.64,-4,,6,C,,,,,9
GLED,9.95,,-0.2,-87,,,C,,,,39,22
GLGG,4.12,,5.73,-3,,1,E,,,,,93
GLIN,45.87,,-0.61,-27,,46,A,,,,,9
GLIX,27.44,,-0.48,-6,,52,E,,,,,17
GLL,22.62,,-1.14,-28,,58,C,,,,,2478
GLNK,7.98,,1.92,34,,9,A,,,,,257
GLO,6.02,,0.33,-24,,43,C+,,,,91,123
GLOF,61.37,,-0.32,-24,,83,E,,,,,18
GLOW,35.49,,-0.19,-35,,85,A,,,,,12
GLQ,8.35,,0.36,-9,,47,E,,,,97,70
GLRY,41.42,,0.34,-50,,60,E,,,,,24
GLTR,197.79,,0.64,-51,,38,D+,,,,,73
GLU,19.48,,0.85,-40,,34,E,,,,88,7
GLV,6.3,,-0.16,-36,,45,E,,,,88,51
GLWG,16.6,,9.35,84,,15,D-,,,,,1890
GLX,12.36,,5.41,-98,,21,,,,,,
GLXU,4.82,,6.87,-67,,1,E,,,,,302
GMAR,44.98,,0.08,-8,,64,A-,,,,,9
GMAY,44.02,,-0.05,-75,,58,C,,,,,81
GMEC,17.19,,0.38,-96,,22,,,,,,
GMEU,5.54,,0.64,-34,,2,E,,,,,312
GMEY,23.61,,0.12,-72,,3,E,,,,,1
GMF,156.96,,-0.23,-58,,66,C-,,,,,11
GMMA,22.11,,-0.16,9,,53,A+,,,,,0
GMMF,100.31,,0.03,10,,38,A-,,,,,25
GMNY,49.76,,-0.1,-47,,34,E,,,,,3
GMOC,50.16,,-0.01,-95,,42,E,,,,,6
GMOD,28.1,,-0.13,-58,,62,C,,,,,12
GMOI,41.07,,0.5,-35,,93,B-,,,,,121
GMOM,37.74,,0.34,-56,,55,C+,,,,,7
GMOV,32.65,,0.1,64,,92,B+,,,,,17
GMUB,50.86,,-0.12,505,,33,E,,,,,44
GNMA,43.62,,-0.32,-78,,20,E,,,,,35
GNMX,31.94,,-0.73,52,,77,D,,,,,1
GNOM,58.31,,-1.27,-56,,99,A,,,,,30
GNOV,42.56,,-0.01,-69,,62,C-,,,,,10
GNR,74.9,,0.58,-31,,61,B-,,,,,242
GNT,8.8,,0.34,-40,,82,C+,,,,95,141
GOAU,44.21,,1.19,-51,,43,C+,,,,,36
GOCT,42.34,,0.05,-62,,61,A,,,,,31
GOEX,85.75,,2.46,-25,,46,B,,,,,7
GOF,10.46,,-0.46,-9,,7,C,,,,46,1358
GOGL,24.43,,0.16,-70,,43,,,,,,
GOIB,24.8,,-0.2,-36,,,,,,,,
GOLI,13.07,,0.42,-38,,6,C-,,,,,26
GOLS,27.93,,0.67,-12,,76,C,,,,,5
GOLY,26.81,,-0.55,-38,,7,C,,,,,27
GOOL,12.89,,-0.16,-2,,26,,,,,,
GOOP,36.84,,-0.26,25,,30,E,,,,,18
GOOW,62.5,,-0.01,-14,,16,E,,,,,28
GOOX,73.19,,-0.24,-41,,47,E,,,,,99
GOOY,12.34,,0.08,-44,,7,E,,,,,447
GOP,45.51,,0.15,21,,86,C,,,,,11
GOU,25.87,,-0.41,-24,,22,E,,,,,91
GOVI,26.43,,-0.41,-50,,12,E,,,,,236
GOVM,24.89,,-0.09,-64,,35,E,,,,,1
GOVT,22.46,,-0.24,-11,,18,E,,,,,7385
GOVZ,33.28,,-1.19,-73,,8,E,,,,,233
GPAC,10.03,,0.1,-100,,,C,,,,49,70
GPAT,10.93,,-2.06,-100,,,D+,,,,77,39
GPIQ,57.66,,-0.1,-33,,56,C,,,,,1480
GPIX,56.61,,-0.11,-19,,58,B+,,,,,1024
GPRF,49.58,,0.03,-77,,16,E,,,,,26
GPT,34.63,,-0.03,266,,73,C+,,,,,1
GPTY,43.12,,-0.21,-41,,22,D+,,,,,55
GPZ,25.71,,-2,107,,52,C,,,,,192
GQGU,26.74,,-0.22,-21,,52,D,,,,,123
GQI,60.36,,-0.28,-3,,58,A,,,,,22
GQQQ,36.33,,-0.06,-87,,84,D,,,,,20
GQRE,64.54,,-0.02,-54,,45,E,,,,,9
GRAG,6.12,,-3.98,-62,,8,C,,,,,15
GREK,82.85,,0.72,-33,,95,A,,,,,93
GRF,10.45,,1.36,-88,,44,B+,,,,59,2
GRID,187.87,,-0.18,-42,,55,E,,,,,679
GRIN,34.07,,0.03,-83,,93,C,,,,,35
GRN,32.71,,-0.95,1210,,72,A,,,,,0
GRNB,23.84,,-0.08,0,,20,E,,,,,29
GRNI,21.32,,-0.21,-46,,47,C,,,,,32
GRNJ,31.61,,0.8,-66,,68,D,,,,,213
GRNY,28.12,,-0.32,-57,,72,C+,,,,,1584
GROZ,33.4,,-0.43,-39,,80,B,,,,,24
GRPM,143.3,,-0.46,-31,,95,A+,,,,,8
GRPZ,33.52,,0.23,-85,,96,A-,,,,,1
GRW,32.55,,-0.36,-84,,68,C,,,,,6
GRX,9.92,,-0.1,-35,,70,A+,,,,2,22
GSC,68.91,,0.01,7,,97,D,,,,,13
GSEE,68.62,,-0.41,-78,,73,B+,,,,,3
GSEP,41.73,,,-85,,59,A-,,,,,42
GSEU,50.46,,0.08,7796,,73,B+,,,,,6
GSEW,99.3,,0.03,15,,89,A+,,,,,81
GSG,32.47,,0.81,-82,,65,C,,,,,630
GSGO,45.32,,-0.19,-76,,71,C,,,,,8
GSHR,10.52,,0.1,-100,,,E,,,,52,28
GSIB,65.34,,0.09,-63,,98,E,,,,,17
GSID,78.48,,-0.13,690,,75,B+,,,,,29
GSIE,48.29,,0.08,-42,,78,C+,,,,,462
GSJY,56.13,,2.89,2819,,86,C-,,,,,5
GSKH,68.9,,-1.32,-44,,36,C,,,,,0
GSLC,148.53,,-0.12,15,,79,B,,,,,324
GSOL,5.67,,-1.56,-70,,4,B+,,,,,4431
GSPY,42.79,,-0.01,-53,,87,A+,,,,,4
GSRF,10.19,,0.11,-69,,,C,,,,3,29
GSRV,9.87,,0.1,-81,,,,,,,98,
GSSC,92.67,,0.32,28,,95,C,,,,,38
GSST,50.52,,0.07,-32,,36,D,,,,,217
GSUI,9.84,,-1.17,-44,,5,C,,,,,35
GSUS,107.31,,-0.16,137,,80,C,,,,,78
GSWO,66.15,,-0.16,-35,,81,B,,,,,72
GSY,50.23,,0.02,-11,,33,B-,,,,,748
GTEK,59.8,,-0.22,-46,,98,D,,,,,25
GTEN,10.69,,-0.09,-83,,,C,,,,82,54
GTERA,10.39,,,-99,,,D+,,,,34,13
GTIP,47.63,,-0.1,-15,,11,E,,,,,33
GTND,25.88,,-0.23,320,,43,E,,,,,1
GTO,46.3,,-0.25,-10,,17,D-,,,,,225
GTOC,24.75,,-0.24,85,,17,C,,,,,141
GTOH,25.39,,-0.02,-76,,25,A+,,,,,3
GTOP,49.69,,-0.52,85,,83,C,,,,,16
GTOQ,22.39,,,-86,,30,C+,,,,,29
GTOS,24.98,,,-100,,30,B,,,,,2
GTPE,62.86,,-0.02,31,,93,C,,,,,1
GTR,27.82,,0.05,-84,,60,B-,,,,,5
GUAC,9.93,,,-100,,,,,,,56,
GUG,15.27,,0.06,44,,12,E,,,,,83
GUMI,50.32,,,-93,,40,E,,,,,15
GUNR,53.49,,0.58,-35,,52,E,,,,,597
GURU,70.79,,0.29,286,,91,B,,,,,1
GUSA,67.27,,-0.15,-73,,81,E,,,,,0
GUSE,46.46,,-0.35,-1,,71,C,,,,,6
GUSH,41.27,,1.58,-11,,98,B,,,,,857
GUT,6.49,,0.31,-23,,62,D-,,,,33,249
GVAL,38.43,,0.44,-61,,92,D+,,,,,195
GVI,105.42,,-0.13,-39,,22,E,,,,,107
GVIP,177.86,,0.46,-53,,71,D,,,,,12
GVLE,49.56,,-0.03,-83,,85,D,,,,,3
GVLU,29.01,,0.26,4,,88,A+,,,,,4
GVUS,66.36,,-0.07,1381,,95,E,,,,,13
GWX,46.53,,0.32,-53,,59,C,,,,,66
GXC,90.32,,0.16,-70,,8,D-,,,,,24
GXDW,24.84,,-0.91,-91,,13,B,,,,,6
GXIG,24.39,,,-99,,13,E,,,,,7
GXLC,93.43,,,-79,,79,C,,,,,0
GXPC,29.92,,-0.07,-79,,35,E,,,,,208
GXPD,26.56,,-0.38,-94,,35,C,,,,,68
GXPE,36.13,,1.27,-19,,94,E,,,,,1
GXPS,27.03,,0.04,30,,39,C,,,,,23
GXPT,34.14,,-0.5,-93,,93,C,,,,,209
GXRP,19.34,,-1.05,-20,,6,E,,,,,31
GXUS,64.85,,-0.09,-84,,78,B,,,,,3
GYLD,14.44,,-0.31,-27,,52,A-,,,,,13
HACK,118.18,,-3.04,11,,99,A+,,,,,210
HACQ,10.08,,0.1,-100,,,E,,,,66,22
HAIL,38.78,,0.98,-93,,55,B-,,,,,4
HAKY,31.58,,-3.2,55,,90,C,,,,,6
HALX,25.93,,0.24,-53,,45,,,,,,2
HAP,73.53,,0.42,-70,,60,D,,,,,37
HAPI,46.63,,-0.11,-49,,84,A,,,,,2
HAPS,38.83,,0.05,265,,96,A-,,,,,0
HARD,31.74,,1.14,-71,,36,C+,,,,,43
HAUG,25.25,,0.08,-100,,,,,,,,
HAUS,18.74,,0.06,-53,,49,A+,,,,,2
HAUZ,22.88,,-0.32,-28,,12,D-,,,,,101
HAVA,10.17,,0.2,-100,,,E,,,,56,6
