Symbol,Price,Industry Group Rank,Price % Change,Vol. % Change,IBD Comp. Rating,RS Rating,Acc/Dis Rating,EPS Rating,SMR Rating,Ind Grp RS,PE Ratio,Vol. 50 Day Avg. (1000s)
AGMI,72.23,,1.23,-37,,46,B,,,,,2
AGNG,38.07,,-0.39,-58,,75,A-,,,,,15
AGOX,34.53,,-0.57,51,,69,B+,,,,,59
AGQ,79.3,,1.12,-31,,27,D,,,,,2547
AGQI,18.79,,-0.09,26,,76,B,,,,,4
AGRW,33.15,,-0.81,-93,,72,C,,,,,1
AGZ,108.68,,-0.22,-40,,25,E,,,,,14
AGZD,22.57,,-0.09,-78,,41,D,,,,,66
AHD,26.18,,-0.85,74,,50,,,,,,2
AHLT,29.54,,0.85,-90,,55,E,,,,,19
AHYB,46.04,,-0.09,156,,26,E,,,,,2
AIA,138.92,,-0.13,-57,,91,D,,,,,457
AIBD,46.87,,1.8,-99,,4,E,,,,,9
AIBU,67.96,,-1.78,-70,,93,B+,,,,,12
AIEQ,51.56,,0.21,-29,,78,A+,,,,,4
AIFD,53.91,,-0.26,-52,,96,D,,,,,22
AIHY,21.13,,-0.67,-37,,55,,,,,,
AIIA,10.23,,0.32,-33,,,E,,,,27,10
AIMS,29.05,,0.86,21,,66,D+,,,,,2
AINP,24.86,,-0.26,-60,,22,A,,,,,7
AINT,32.24,,0.11,57,,87,D-,,,,,1
AIO,26.57,,-0.67,-41,,63,C,,,,71,75
AIOO,26.5,,-0.02,-77,,47,D,,,,,15
AIPI,37.53,,-0.16,-8,,34,A,,,,,166
AIPO,30.93,,0.81,-32,,63,E,,,,,1398
AIQ,64.2,,-0.65,-67,,90,D,,,,,2527
AIQD,48.82,,3.25,-6,,32,,,,,,1
AIQU,19.06,,-3.7,102,,20,,,,,,11
AIRR,124.75,,1.6,-55,,54,E,,,,,679
AIS,72.97,,1.21,-62,,97,D,,,,,702
AIUP,30.77,,0.39,75,,88,C-,,,,,1
AIVC,115.88,,-0.39,-64,,99,D,,,,,22
AIVI,60.43,,0.13,-91,,81,B,,,,,3
AIVL,136.29,,0.24,-89,,90,B+,,,,,4
AIX,23.94,,-0.17,-18,,37,,,,,,
AIYY,7.6,,-1.94,23,,3,A,,,,,82
AJAN,28.63,,0.01,-84,,47,A+,,,,,2
AJUL,30.44,,-0.11,-74,,52,A-,,,,,33
AKAF,33.65,,,-41,,75,C,,,,,0
AKAL,25.72,,-0.29,-57,,,,,,,,
AKRE,59.6,,-0.95,-43,,51,C,,,,,631
ALA,12.83,,-1.4,-26,,22,,,,,,
ALAI,46.31,,0.5,10,,95,C,,,,,94
ALBG,7.39,,8.94,174,,5,D,,,,,35
ALCYF,12.24,,1.92,-66,,,D,,,,90,1
ALDB,25.82,,-0.06,-78,,44,E,,,,,8
ALDF,10.76,,-0.19,-100,,,A+,,,,6,22
ALF,10.76,,-0.74,-100,,,D+,,,,71,33
ALIL,32.73,,0.65,-28,,75,E,,,,,1
ALIS,10.2,,0.1,-98,,,D-,,,,44,35
ALLW,29.92,,-0.17,45,,44,C-,,,,,494
ALOV,9.95,,-0.1,-100,,,C,,,,9,9
ALPX,9.9,,0.1,-93,,,,,,,,
ALRG,31.66,,-0.42,-90,,86,E,,,,,0
ALTL,47.27,,0.12,-52,,57,C-,,,,,8
ALTY,12.39,,0.19,70,,45,E,,,,,15
ALUB,10.13,,0.2,-100,,,C,,,,51,43
AMA,26.15,,-11.3,486,,74,E,,,,,324
AMAA,32,,-1.82,-86,,64,,,,,,
AMAN,10.49,,0.38,-99,,,,,,,39,92
AMAU,15.83,,-11.37,474,,70,E,,,,,297
AMAX,7.56,,-0.26,-84,,9,C+,,,,,30
AMDC,21.11,,13.01,-29,,25,,,,,,
AMDD,27.82,,-6.3,-67,,2,A+,,,,,1500
AMDG,99.8,,12.74,-14,,98,D,,,,,71
AMDL,58.84,,12.74,-7,,98,D,,,,,4019
AMDW,90.81,,7.66,47,,66,E,,,,,89
AMDY,47,,4.26,-23,,35,D,,,,,429
AMEI,26.58,,-0.58,46,,49,,,,,,
AMEM,25.07,,-0.65,-70,,42,,,,,,
AMGR,25.84,,-0.79,-87,,47,,,,,,
AMHI,24.69,,-0.28,,,33,,,,,,
AMID,37.65,,-0.03,-74,,75,A,,,,,8
AMJB,37.65,,-0.05,62,,85,A+,,,,,29
AMKL,9.27,,4.16,-16,,10,D,,,,,275
AMKX,14.65,,3.89,-92,,22,,,,,,
AMLP,54.96,,1.12,5,,64,B+,,,,,1353
AMMO,28.66,,1.41,-29,,66,,,,,,
AMOM,60.15,,0.2,-68,,83,C,,,,,7
AMPU,3.83,,9.12,-7,,10,D,,,,,363
AMUB,23.61,,1.17,-98,,84,A-,,,,,3
AMUN,26.07,,0.06,-76,,34,E,,,,,3
AMUU,207.7,,13,-8,,98,D,,,,,115
AMYY,14.46,,0.66,-58,,5,D+,,,,,24
AMZA,50.36,,1.58,47,,87,B+,,,,,34
AMZD,8.36,,1.03,-56,,9,B-,,,,,14716
AMZG,16.61,,-1.77,-44,,59,,,,,,
AMZO,13.46,,1.89,8,,13,E,,,,,59
AMZP,26.94,,-0.99,-75,,18,C,,,,,13
AMZU,38.77,,-1.9,-47,,27,C,,,,,3373
AMZW,38.31,,-1.09,-33,,13,D+,,,,,18
AMZY,10.96,,-0.72,-5,,7,C,,,,,329
AMZZ,36.03,,-1.59,-66,,37,B-,,,,,177
ANEL,27.3,,-5.14,-74,,95,C,,,,,156
ANEW,53.63,,-0.14,83,,71,A,,,,,0
ANGL,29.04,,-0.17,-14,,30,C+,,,,,709
ANGU,25.63,,-0.27,-99,,,,,,,,
ANTW,25.16,,0.55,-53,,,,,,,,
ANV,25.45,,-0.04,-46,,42,E,,,,,3
AOA,99.74,,-0.15,-19,,67,B+,,,,,107
AOCT,27.59,,0.09,328,,50,A,,,,,2
AOD,10.8,,0.65,-29,,67,E,,,,79,417
AOHY,11.05,,-0.14,-35,,32,B-,,,,,61
AOK,41.46,,-0.18,-52,,46,C+,,,,,153
AOM,50,,-0.16,5,,49,D+,,,,,140
AOR,70.29,,-0.16,-16,,56,C+,,,,,293
AOTG,65.67,,0.93,-77,,92,A,,,,,4
AOTS,23.25,,0.04,-93,,37,C,,,,,4
APAC,10.21,,0.1,-13,,,D,,,,19,9
APCB,28.99,,-0.19,-24,,18,E,,,,,106
APDB,26.21,,0.01,263,,46,E,,,,,0
APHG,15.83,,1.57,392,,50,,,,,,
APHU,26.88,,1.81,-72,,69,E,,,,,14
APIE,39.61,,-0.13,-40,,65,B+,,,,,84
APLU,24.3,,-0.31,83,,15,E,,,,,42
APLX,12.35,,3.87,-89,,12,E,,,,,1346
APLY,11.42,,0.18,-72,,7,D,,,,,134
APLZ,18,,-3.02,-58,,7,C,,,,,209
APMC,9.92,,-0.02,-99,,,,,,,94,
APMI,16.89,,-10.82,63,,24,,,,,,
APMU,24.81,,0.14,202,,24,D-,,,,,29
APOC,26.44,,0.04,48,,45,E,,,,,10
APPC,10.91,,1.81,3,,19,,,,,,
APPX,13.23,,1.69,6,,1,E,,,,,763
APRB,27.34,,-0.11,-95,,57,C,,,,,2
APRH,25.18,,-0.12,-47,,42,B-,,,,,5
APRJ,24.93,,-0.02,-97,,41,B,,,,,3
APRP,33.19,,0.03,96,,69,A+,,,,,3
APRT,46.75,,0.01,-98,,71,A+,,,,,12
APRW,37.65,,0.04,-91,,57,B,,,,,18
APRZ,41.1,,-0.18,-17,,64,B,,,,,1
APUE,48.01,,-0.21,-41,,85,A,,,,,145
APUR,9.98,,0.1,-100,,,,,,,84,79
APXM,32.05,,0.02,-80,,49,E,,,,,2
APXT,10.11,,,-100,,,D,,,,69,280
AQEC,26.05,,-0.27,-11,,56,E,,,,,23
AQLG,26.91,,,-85,,55,,,,,,
AQLT,32.28,,-0.83,-89,,78,A,,,,,50
AQWA,19.56,,-0.33,-75,,39,B-,,,,,7
ARB,29.76,,0.07,-81,,45,E,,,,,17
ARCI,10.18,,0.1,-100,,,C,,,,7,35
ARCL,9.96,,,-100,,,,,,,,34
ARCM,100.22,,,-98,,36,B+,,,,,0
ARCP,25.09,,-0.18,49227,,,,,,,,
ARCX,18.22,,-10.99,166,,3,C,,,,,54
ARDC,12.48,,0.48,-60,,10,D+,,,,32,111
